pair_id	sid	tid	speaker	utt	sum	interval_sum_label	interval_last_label
PP1015	2	9	PP1015-A	1年で、どのくらい道具とか材料にかけました？貯金がどのくらい減るか、シミュレーションしようかと思うんです。	私は貯金のことをよく考えます。	1時間後	1時間後
PP1015	2	10	PP1015-B	私はあまり高い道具を使っていないので、全部で1万円も行っていないと思います。100均でも、工具だったら揃えられるのでお得ですよ。	私はあまり高い道具は使いません。	1時間後	1時間後
PP1015	2	11	PP1015-A	100均でもいいんですね？それなら、私もまずはその辺からやってみようかな。		1時間後	1時間後
PP1015	2	12	PP1015-B	そうですね！それでお得になるなら、貯金も貯まりますし、おすすめです。		1時間後	1時間後
PP1015	3	1	PP1015-A	さっそく、百均でDIYグッズを買ってきたよ。	私はDIYグッズを買いました。	1時間後_4日後	4日後
PP1015	3	2	PP1015-B	お、いいですね！何か作ってみました？		1時間後_4日後	4日後
PP1015	3	3	PP1015-A	ブックスタンドを作ろうと思ったんだけど、なかなかうまくいかない。傾いちゃうんだ。	私はブックスタンドを作ろうと思っています。	1時間後_4日後	4日後
PP1015	3	4	PP1015-B	あはは、傾いちゃうのも味があっていいじゃない。私も最初は失敗ばっかりでしたよ。		1時間後_4日後	4日後
PP1015	3	5	PP1015-A	私が計算とか苦手だから上手くいかなかったのかと思ったの。でもそういわれると、傾いているのも味があっていいね。		1時間後_4日後	4日後
PP1015	3	6	PP1015-B	慣れてくればきっと上手にできるようになりますよ。そうそう、私もさ、あなたに聞きたいことがあったんだ！		1時間後_4日後	4日後
PP1015	3	7	PP1015-A	がんばって、続けてみるね。なになに？なんでもきいて！		1時間後_4日後	4日後
PP1015	3	8	PP1015-B	どうすればコツコツ貯金が続けられるか、聞いてみたいなって。	私は貯金のコツを知りたいです。	1時間後_4日後	4日後
PP1015	3	9	PP1015-A	目標を決めるとかどう？わたしはいつかスーパーのパートを辞めてお店を開くために貯金をしているよ。	私はスーパーでパートをしています。私は貯金をしています。	1時間後_4日後	4日後
PP1015	3	10	PP1015-B	目標かあ！確かにそれはいいかも。あなたは何のお店を開きたいんですか？		1時間後_4日後	4日後
PP1015	3	11	PP1015-A	小さなお菓子屋さんを開きたいの。だから、苦手な勉強も頑張っているところなの。	私は小さなお菓子屋さんを開きたいです。私は勉強が苦手です。	1時間後_4日後	4日後
PP1015	3	12	PP1015-B	素敵ですね！夢を叶えられるよう応援してますよ。		1時間後_4日後	4日後
PP1015	4	1	PP1015-A	今、貯金箱を作ろうと頑張ってますよ。	私は貯金箱を作るのを頑張っています。	1時間後_4日後_4日後	4日後
PP1015	4	2	PP1015-B	すごいじゃないですか。どれくらいの大きさなんですか？		1時間後_4日後_4日後	4日後
PP1015	4	3	PP1015-A	小さめのかわいい小箱的なのを3つぐらい作ろうかと！		1時間後_4日後_4日後	4日後
PP1015	4	4	PP1015-B	一つでいくらくらい貯まるんだろう。さすが貯金好き。		1時間後_4日後_4日後	4日後
PP1015	4	5	PP1015-A	DIY好きさんに影響されたかも！作るのたのしいです！	私はDIY好きさんに影響され、作るのが楽しいです。	1時間後_4日後_4日後	4日後
PP1015	4	6	PP1015-B	それはうれしいですね。ところでこないだ言ってたお菓子屋さんって何系のお菓子屋さんなんですか？		1時間後_4日後_4日後	4日後
PP1015	4	7	PP1015-A	マカロンとかフィナンシェを考えてます！		1時間後_4日後_4日後	4日後
PP1015	4	8	PP1015-B	わーオシャレ。私も手先は器用なんだけどお菓子作りは全然だめで。うらやましいなぁ。	私は手先が器用です。私はお菓子作りは全くダメです。	1時間後_4日後_4日後	4日後
PP1015	4	9	PP1015-A	茨城名産の納豆をマカロンにはさめないかな。		1時間後_4日後_4日後	4日後
PP1015	4	10	PP1015-B	おーっと、なかなか個性的ですね。		1時間後_4日後_4日後	4日後
PP1015	4	11	PP1015-A	でしょ！でも手先が器用だと包装紙とか綺麗に包めそうで羨ましいなあ。	私は手先が器用な人が羨ましいです。	1時間後_4日後_4日後	4日後
PP1015	4	12	PP1015-B	そういうのだったら任せて。もし人が必要になったら手伝いに行くからね。		1時間後_4日後_4日後	4日後
PP1015	5	1	PP1015-A	ちょっと。納豆マカロンの試作をつくってみたんだけど。		1時間後_4日後_4日後_6日後	6日後
PP1015	5	2	PP1015-B	結局、その個性的なのにしたんですか！フィナンシェとかも言ってませんでしたっけ？		1時間後_4日後_4日後_6日後	6日後
PP1015	5	3	PP1015-A	まずは、いろいろ作ってみようと思ってね。でどうなったと思う？納豆マカロン		1時間後_4日後_4日後_6日後	6日後
PP1015	5	4	PP1015-B	想像に難くないけど、一応聞きますね。美味しかったですか？		1時間後_4日後_4日後_6日後	6日後
PP1015	5	5	PP1015-A	いやそれがね。結構あうのよ。マカロンのサクサクと納豆のネバネバのハーモニーってわけじゃなくて。少し納豆の粉末をマカロンの生地に仕込んでみた。そしたらちょっとしたアクセントになるのよ。		1時間後_4日後_4日後_6日後	6日後
PP1015	5	6	PP1015-B	アイデアの勝利ですね！DIYを始めた当初は失敗ばっかりだった私とは大違いです。		1時間後_4日後_4日後_6日後	6日後
PP1015	5	7	PP1015-A	いやいや。スーパーでパートやってるから時間があるだけよ。あとフィナンシェの試作を作ったから後でその画像送るわ。それにあうパッケージ考えてくれないかしら？		1時間後_4日後_4日後_6日後	6日後
PP1015	5	8	PP1015-B	いいですよ！試作のパッケージ、ささっと作ってみますね。こういう時、手先が器用な人って便利でしょ？		1時間後_4日後_4日後_6日後	6日後
PP1015	5	9	PP1015-A	あら！助かるわ。わたしのスーパーにこっそり置いちゃおうかしら。		1時間後_4日後_4日後_6日後	6日後
PP1015	5	10	PP1015-B	あとその納豆マカロンの試作品を幾つか分けてもらえたら、事務の同僚にも味見させて感想を聞いてきますよ。		1時間後_4日後_4日後_6日後	6日後
PP1015	5	11	PP1015-A	ホントに？それ助かるわ。みんなの感想是非聞かせてね。早速この後50個送るわね。		1時間後_4日後_4日後_6日後	6日後
PP1015	5	12	PP1015-B	50個もくれるんですか！ありがとうございます。今の会社は入ってまだ間もないんで、これをきっかけに同僚と打ち解けられるといいな。		1時間後_4日後_4日後_6日後	6日後
PP1074	1	1	PP1074-A	こんにちは、空港会社に勤務しているのですが、最近は旅行客がいないので仕事が少ないです。	私は空港会社に勤務しています。		
PP1074	1	2	PP1074-B	こんにちは。やっぱりそうなんですね、わたしはバスの運転手ですがあまり減っていないので、毎日びくびくしながら仕事していますよ。	私はバスの運転手です。		
PP1074	1	3	PP1074-A	そうですよね、尊敬する先輩がいるからがんばれますが、怖くて辞めたいと思うときもあります。	私には尊敬する先輩がいます。		
PP1074	1	4	PP1074-B	わかりますよ。わたしは女性も苦手なので、年配の女性とかに怒鳴られると逃げ出したくなります。お互い頑張りましょうね。	私は女性が苦手です。		
PP1074	1	5	PP1074-A	そうですよね、普段は姿勢がいいですが、怒られると縮こまってしまいますよね。	私は姿勢がいいです。		
PP1074	1	6	PP1074-B	そうなんですよー。兄弟と暮らしているんですが、彼らはそういうのに鈍感なんでうらやましいです。あなたはご家族はいらっしゃるんですか？	私は兄弟と暮らしています。		
PP1074	1	7	PP1074-A	歳の離れた姉がいるんです。	私には歳の離れた姉がいます。		
PP1074	1	8	PP1074-B	そうなんですか、どんなお姉さんなんですか？			
PP1074	1	9	PP1074-A	料理が得意な姉です、私はしょうが焼きが好きなのですが、よく作ってくれました。	私の姉は料理が得意です。私はしょうが焼きが好きです。		
PP1074	1	10	PP1074-B	いいですね。わたしも料理をするので気が合うかもしれません。焼きそばが得意料理なんですよ。	私は焼きそばが得意料理です。		
PP1074	1	11	PP1074-A	焼きそばってたまに無性に食べたくなりますよね。			
PP1074	1	12	PP1074-B	そうなんですよね。よければ今度お姉さんに作ってもらってください。			
PP1074	2	1	PP1074-A	さっき、焼きそばの話をしたので、ついカップ焼きそばを作って食べてしまいました。	私はカップ焼きそばを先ほど食べました。	2時間後	2時間後
PP1074	2	2	PP1074-B	そうだったんですね。カップの焼きそばって美味しいですか？		2時間後	2時間後
PP1074	2	3	PP1074-A	美味しいですよ。カップ焼きそば、食べたこと無いんですか？	私はカップ焼きそばは美味しいと思います。	2時間後	2時間後
PP1074	2	4	PP1074-B	はい、自分で作るのが美味しいと思っているので、カップの物はまだ食べたことないんですよ。	私はカップ焼きそばを食べたことがありません。	2時間後	2時間後
PP1074	2	5	PP1074-A	私の姉みたいなこと言いますね。姉も料理が得意だから、インスタントはあまり食べないんです。	私の姉は料理が得意です。	2時間後	2時間後
PP1074	2	6	PP1074-B	あはは、あなたのお姉さんとは本当に気が合いそうですね。あなた自身は料理は全くしないんですか？		2時間後	2時間後
PP1074	2	7	PP1074-A	しようと思えばできるんですけど、仕事が立ち仕事なせいで、帰宅したらもう立ち上がりたくないっていいますか。	私の仕事は立ち仕事です。	2時間後	2時間後
PP1074	2	8	PP1074-B	確かに。立ち仕事は疲れますよね。私はバスでずっと座っている仕事ですが、帰宅するお客さんたちは、みんな我先に席を陣取っています。	私はバスの運転手で、座って仕事をしています。	2時間後	2時間後
PP1074	2	9	PP1074-A	逆にずっと座ってるっていうのも、大変そうな気もしますけど、実際、どうなんですか？		2時間後	2時間後
PP1074	2	10	PP1074-B	最初はお尻がいたくなって大変でしたが、最近は慣れてきました。降りれる時には降りて体をほぐすのがコツです。	私は最近自分の仕事に慣れてきました。	2時間後	2時間後
PP1074	2	11	PP1074-A	そうなんですね。私は姿勢が良いので、椅子の背もたれは使わないんですが、もたれるのとどっちが疲れますかね？	私は姿勢がよいです。	2時間後	2時間後
PP1074	2	12	PP1074-B	私の場合は姿勢を保つこと自体が疲れてしまいそうですが、どちらでしょうかねー。	私は姿勢を保つのが難しいと思います。	2時間後	2時間後
PP1074	3	1	PP1074-A	聞いてください。年の離れた私の姉の話なのですが、姉に恋人ができたんですよ。	私には歳の離れた姉がきます。	2時間後_4日後	4日後
PP1074	3	2	PP1074-B	それはめでたいですね！あれ？お姉さんとはどのくらい歳が離れてたんでしたっけ？		2時間後_4日後	4日後
PP1074	3	3	PP1074-A	10歳上なんです。そのお相手がね、なんと私の尊敬する先輩だったんです！	私と姉は10歳離れています。	2時間後_4日後	4日後
PP1074	3	4	PP1074-B	ええー！それはドラマみたいな話ですね。羨ましいなあ。		2時間後_4日後	4日後
PP1074	3	5	PP1074-A	お似合いの二人だから私まで嬉しくなっちゃいました。そういえば、あなたはご結婚されてるんでしたっけ？		2時間後_4日後	4日後
PP1074	3	6	PP1074-B	いいえ、独身ですよ。結婚したいんですが、どうにも女性が苦手で。恋人もなかなかできないんですよ。	私は独身です。私は結婚したいですが、女性が苦手です。	2時間後_4日後	4日後
PP1074	3	7	PP1074-A	そうでしたか。わたしもパートナーすらいないんですよ。今は仕事が楽しくって、恋愛どころじゃないんです。	私は恋人がいません。私は仕事が楽しいです。	2時間後_4日後	4日後
PP1074	3	8	PP1074-B	それはいいですね！あなたならすぐに相手が見つかりそうだから大丈夫ですよ。		2時間後_4日後	4日後
PP1074	3	9	PP1074-A	ありがとうございます。私お料理って全くできないけれど、幻滅されないかなぁ？	私は料理が不得意です。	2時間後_4日後	4日後
PP1074	3	10	PP1074-B	全然！料理好きの男性を選べば問題ないですよ！		2時間後_4日後	4日後
PP1074	3	11	PP1074-A	確かにそうですね。一つ得意料理が作れるようになりたいので、よければ今度あなたの絶品やきそばのレシピを伝授してもらえませんか？	私は得意料理が作れるようになりたいです。	2時間後_4日後	4日後
PP1074	3	12	PP1074-B	もちろん！では、今度レシピとコツをお教えしますよ。		2時間後_4日後	4日後
PP1074	4	1	PP1074-A	教えてもらったレシピでやきそば作ってみましたよ。		2時間後_4日後_6日後	6日後
PP1074	4	2	PP1074-B	どうでした？お口にあいましたかね。		2時間後_4日後_6日後	6日後
PP1074	4	3	PP1074-A	私が下手なのか、麺がなんだかべしゃべしゃに。		2時間後_4日後_6日後	6日後
PP1074	4	4	PP1074-B	あらら。それは残念。私の得意の焼きそばレシピがそんなことに。また作ってみてくださいよ。	私は焼きそばが得意料理です。	2時間後_4日後_6日後	6日後
PP1074	4	5	PP1074-A	はい、今度姉が台所で指導してくれるそうです。	私には姉がいて、台所で料理の指導をしてくれる予定です。	2時間後_4日後_6日後	6日後
PP1074	4	6	PP1074-B	さすがお姉さん。頼りになりますね。それに引き換えうちの弟は全く何もしないんですよね。	私には弟がいて、全く何もしません。	2時間後_4日後_6日後	6日後
PP1074	4	7	PP1074-A	そうなんです、でも指導モードの時はちょっと怖くて姿勢がますますよくなります。弟さんと私にてるかも。	私は姉に指導されると、怖くて姿勢が良くなります。	2時間後_4日後_6日後	6日後
PP1074	4	8	PP1074-B	それはそれは。バスの運転手の私よりも背筋伸びてますもんね。	私はバスの運転手です。	2時間後_4日後_6日後	6日後
PP1074	4	9	PP1074-A	ついつい、仕事柄、空港で人から見られる職業だからでしょうか。	私は空港で人から見られる職業に就いています。	2時間後_4日後_6日後	6日後
PP1074	4	10	PP1074-B	接客業って大変ですよね。空港だと海外の方も来られるでしょう。		2時間後_4日後_6日後	6日後
PP1074	4	11	PP1074-A	海外の方は大きいので、見上げるからますます背筋を伸ばさないと！身体が疲れます。		2時間後_4日後_6日後	6日後
PP1074	4	12	PP1074-B	姿勢がいいと素敵に見えてうらやましいです。きっと素敵な恋人見つかりますよ。		2時間後_4日後_6日後	6日後
PP1074	5	1	PP1074-A	やっぱり、豚のしょうが焼きは最高ですね。		2時間後_4日後_6日後_2日後	2日後
PP1074	5	2	PP1074-B	お姉さんが作ってくれたんですか？それとも自分で？		2時間後_4日後_6日後_2日後	2日後
PP1074	5	3	PP1074-A	当然姉です。母から受け継いだのか、上手く作ってくれるんですよね。そちらは何かいいことありました？		2時間後_4日後_6日後_2日後	2日後
PP1074	5	4	PP1074-B	こちらは、弟と喧嘩中です。		2時間後_4日後_6日後_2日後	2日後
PP1074	5	5	PP1074-A	あら。喧嘩？どうしてそうなっちゃいました？		2時間後_4日後_6日後_2日後	2日後
PP1074	5	6	PP1074-B	この前言ったように、私の弟は本当になにもしないんですよ。昼飯に焼きそばを私が作る代わりに洗い物をする約束だったのに、結局夜まで放置で。		2時間後_4日後_6日後_2日後	2日後
PP1074	5	7	PP1074-A	それはいけませんな。でも喧嘩になったということは弟さんも何か言い分があるってこと？		2時間後_4日後_6日後_2日後	2日後
PP1074	5	8	PP1074-B	それが、女みたいに小言ばかりでうるさいと、逆ギレです。長男なので、つい弟を子供扱いしてしまう私も悪いのですが。		2時間後_4日後_6日後_2日後	2日後
PP1074	5	9	PP1074-A	でもそれは、弟さんがお兄ちゃんに甘えてるんですよ。ってウチの姉と先輩がそのまま上手くいけば、わたしも兄ができるってことか？		2時間後_4日後_6日後_2日後	2日後
PP1074	5	10	PP1074-B	そういえば、おっしゃってましたね。尊敬している先輩でしたかね？そのお兄さんになる予定の人。		2時間後_4日後_6日後_2日後	2日後
PP1074	5	11	PP1074-A	そうそう。ちょうど昨日姉からそんな話を聞かされてましてね。でも尊敬する先輩に姉との喧嘩を見られるのも恥ずかしいなって思っちゃいました。この後も上手くいきますかね？		2時間後_4日後_6日後_2日後	2日後
PP1074	5	12	PP1074-B	あなたが尊敬する先輩なんですから、きっと良い方に違いないですし、うまくいきますよ！		2時間後_4日後_6日後_2日後	2日後
PP1154	1	1	PP1154-A	わたしの手作り餃子、試食してもらえませんかねえ。	私は餃子を手作りします。		
PP1154	1	2	PP1154-B	いいんですか！いただきます！すごく美味しいです！			
PP1154	1	3	PP1154-A	気に入ってもらえると何よりです。大学院での研究ばかりじゃ姿勢が悪くなるばっかりですから。	私は大学院で研究しています。私は姿勢が悪いです。		
PP1154	1	4	PP1154-B	趣味が料理なんですか？わたしも尊敬する坂本龍馬の小説ばかり読んでいたので姿勢が悪くなるところでした。	私は坂本龍馬を尊敬しています。		
PP1154	1	5	PP1154-A	坂本龍馬はあこがれますよね。日本の改革のための努力は見習わないと。			
PP1154	1	6	PP1154-B	感銘を受けますよね。といってもわたしは全く関係ない仕事をしてる鉄道マンなんですけどね。	私は鉄道マンです。		
PP1154	1	7	PP1154-A	いやいや、努力する姿勢はどんな仕事だろうと学問だろうと共通ですよ。			
PP1154	1	8	PP1154-B	そうですよね。ありがとうございます。わたしが誇れることと言ったら集中力があることくらいだったのでそう言っていただけて嬉しいです。	私は集中力があります。		
PP1154	1	9	PP1154-A	集中力があるのは羨ましいですね。わたしは研究のさなかでも気が散ってしまって、よく教授に怒られます。	私はよく気が散ってしまいます。		
PP1154	1	10	PP1154-B	わたしは団地暮らしなんですがさすがに隣人の子が泣き出すと集中も切れますけどね。	私は団地暮らしです。		
PP1154	1	11	PP1154-A	それはお気の毒さまです。気にしないのも大切ですね。			
PP1154	1	12	PP1154-B	そうですね。あなたも研究頑張ってください。			
PP1154	2	1	PP1154-A	こんにちは。仕事のほうはどうですか？		4日後	4日後
PP1154	2	2	PP1154-B	仕事は相変わらずです。毎日電車を見送ってますよ。あなたは最近どうですか？	私は駅で働いています。	4日後	4日後
PP1154	2	3	PP1154-A	研究があんまり上手く行ってないですね。	私は最近研究があまりうまくいっていません。	4日後	4日後
PP1154	2	4	PP1154-B	あれれ、そうなんですね。やっぱり集中できなかったりするのが原因ですか？		4日後	4日後
PP1154	2	5	PP1154-A	まさにおっしゃるとおりですよ。あとは姿勢が悪いせいで、あちこち身体も痛くて。	私は姿勢が悪く、身体があちこち痛いです。	4日後	4日後
PP1154	2	6	PP1154-B	それはいけませんね。姿勢を良くしないと血のめぐりが悪くなって、集中力も落ちそうですし。		4日後	4日後
PP1154	2	7	PP1154-A	ほんと困りもんですよ。また教授に怒られてしまいます。そういえば、あなたは寝不足になってませんか？		4日後	4日後
PP1154	2	8	PP1154-B	そうそう、先日まで近所の子どもの夜泣きで寝不足だったんですけど、最近静かなのでよく眠れるようになりました。	私は寝不足でしたが、最近よく眠れます。	4日後	4日後
PP1154	2	9	PP1154-A	それは良かったです。団地だと、隣人づきあいもあるものなんですか？		4日後	4日後
PP1154	2	10	PP1154-B	そんなにたくさんの人と親しくはないですが、少なからずありますね。		4日後	4日後
PP1154	2	11	PP1154-A	それは大変そうだな。院を卒業したら引っ越しをと思ってますが、団地は選ばないようにします。	私は大学院生です。私は団地には住みたくありません。	4日後	4日後
PP1154	2	12	PP1154-B	隣人づきあいは良い所も悪い所もありますけどね。試しに一度住んでみるのもおすすめですよ。	私は団地住まいも悪くないと思っています。	4日後	4日後
PP1154	3	1	PP1154-A	こんにちは、お久しぶりです。あれから近所のお子さんは静かですか？		4日後_6日後	6日後
PP1154	3	2	PP1154-B	何とか機嫌が直ったみたいです。このままでいてくれるといいんですけど。そういえば、引っ越し先は見つかりました？	私は近所の子が静かでいて欲しいです。	4日後_6日後	6日後
PP1154	3	3	PP1154-A	ええ、まだ検討しているところです。団地はやめようと思っていましたが、実際に調べてみると立地が良くて安いところが見つかりましてね。迷っています。	私は引っ越し先を検討しています。	4日後_6日後	6日後
PP1154	3	4	PP1154-B	エレベーターなしの4階とかでよければ、けっこう空いてますよ。でも絶対駅に近い方が便利です！	私は住まいは駅チカが良いと思っています。	4日後_6日後	6日後
PP1154	3	5	PP1154-A	そうですね。ただやはり、バス停が最寄りのほうが安いので悩みますねえ。バスの中でなんとか学術書などを読めば時間も無駄になりませんし。	私はバスで本を読みます。	4日後_6日後	6日後
PP1154	3	6	PP1154-B	勉強家ですね！私も集中力が長続きする方なので、よく読書をします。休みの日は何をされているんですか？	私は集中力があります。私は読書をします。	4日後_6日後	6日後
PP1154	3	7	PP1154-A	休日も家で読書ばかりですね。専攻に関するものからビジネス書までさまざまです。	私は休日読書ばかりです。	4日後_6日後	6日後
PP1154	3	8	PP1154-B	私は団地住まいで部屋が狭いから電子書籍にしているんですが、あなたは紙の本で読むんですか？	私は団地住まいです。私の部屋は狭いです。	4日後_6日後	6日後
PP1154	3	9	PP1154-A	私は基本的に図書館で紙の本を借りて読みますね。電子書籍だと、読んだ気にならなくて。	私は図書館で本を借ります。	4日後_6日後	6日後
PP1154	3	10	PP1154-B	なるほど、そういう考えもありますね。私も尊敬する坂本龍馬の本だけは、紙の本で手元に置いてます。	私は坂本龍馬を尊敬しています。	4日後_6日後	6日後
PP1154	3	11	PP1154-A	そうですね、大切な本は手元に置いて、一度しか読まない本は図書館で借りるといった具合です。そうすればお金も無駄にならないので、努力して貯金できるんですよ。	私は貯金を努力しています。	4日後_6日後	6日後
PP1154	3	12	PP1154-B	素晴らしい、私もそうすれば貯金できそうです。		4日後_6日後	6日後
PP1154	4	1	PP1154-A	図書館に本を返しに行ってきたんですが、腰が痛くて。		4日後_6日後_7日後	7日後
PP1154	4	2	PP1154-B	あらら、腰が痛いのはつらいですね。		4日後_6日後_7日後	7日後
PP1154	4	3	PP1154-A	はい、もともと姿勢が悪いし寒いのもあると思うんですけど、ズキズキします。	私は姿勢が悪いです。	4日後_6日後_7日後	7日後
PP1154	4	4	PP1154-B	私もね、最近運動不足で体がバキバキだったので近所の川辺で運動してるんですよ。	私は運動不足です。私は近所の川辺で運動しています。	4日後_6日後_7日後	7日後
PP1154	4	5	PP1154-A	偉いですね！川辺だと思いっきり運動できそうですね。		4日後_6日後_7日後	7日後
PP1154	4	6	PP1154-B	そうなんですよ。キャッチボールしたり、ランニングしたりしてます。集中しちゃうと時間たつのもあっという間です。	私はキャッチボールやランニングをしています。	4日後_6日後_7日後	7日後
PP1154	4	7	PP1154-A	さすがの集中力ですね。私は得意の餃子の研究に中華屋さんで休憩してきました。	私は餃子の研究が得意です。	4日後_6日後_7日後	7日後
PP1154	4	8	PP1154-B	いいですね。なにかヒント得られましたか？		4日後_6日後_7日後	7日後
PP1154	4	9	PP1154-A	やはり皮選びと焼き方ですかね、ぱりぱりもちもち感が絶品でした！		4日後_6日後_7日後	7日後
PP1154	4	10	PP1154-B	おお、やっぱりプロから学べることがたくさんあるんですね。勉強熱心で励まされますよ。		4日後_6日後_7日後	7日後
PP1154	4	11	PP1154-A	いえいえ、あなたの鉄道にかける情熱には負けますよ。		4日後_6日後_7日後	7日後
PP1154	4	12	PP1154-B	鉄道マンに誇りを持ってますからね。	私は鉄道マンとしての誇りを持っています。	4日後_6日後_7日後	7日後
PP1154	5	1	PP1154-A	こんにちは。今日はお仕事の日ですか？		4日後_6日後_7日後_2日後	2日後
PP1154	5	2	PP1154-B	こんにちは。はい、今日は始発の当番だったから、さっき仕事を終えたところですよ。		4日後_6日後_7日後_2日後	2日後
PP1154	5	3	PP1154-A	そうだったんですね。毎日お疲れさまです。始発の当番って、何時くらいからなんですか？		4日後_6日後_7日後_2日後	2日後
PP1154	5	4	PP1154-B	始発が出るのが５時台ですから、３時には出社して準備を始めるんですよ。		4日後_6日後_7日後_2日後	2日後
PP1154	5	5	PP1154-A	３時ですか！早いですね！実は、私、昨日は夜更かしして餃子を作っていたので、寝たのが３時だったんです。		4日後_6日後_7日後_2日後	2日後
PP1154	5	6	PP1154-B	では丁度入れ替わりですね。夜３時は冷え込みますよね。近所の川沿いを歩いて出勤する時は耳が千切れそうになります。		4日後_6日後_7日後_2日後	2日後
PP1154	5	7	PP1154-A	３時、寒かったですよね！あの時間に外を歩いていたら、凍えちゃいますよ。寒さは努力じゃなんとかできないですし。		4日後_6日後_7日後_2日後	2日後
PP1154	5	8	PP1154-B	私の場合、寒い時は歩くことだけに集中すると、少しはマシになります。		4日後_6日後_7日後_2日後	2日後
PP1154	5	9	PP1154-A	なるほどー。それは良いことを聞きました。私のように姿勢悪く体を丸めて歩くだけじゃ、寒いままですもんね。集中して、胸を張って歩いてみます。		4日後_6日後_7日後_2日後	2日後
PP1154	5	10	PP1154-B	それが良いですよ。そういえば、腰痛の具合はいかがですか？		4日後_6日後_7日後_2日後	2日後
PP1154	5	11	PP1154-A	少し楽になりました。でも、寒さには弱いので、これからも気を付けますね。		4日後_6日後_7日後_2日後	2日後
PP1154	5	12	PP1154-B	寒い時は怪我もしやすいですからね。お互い身体を大事にしましょうね。		4日後_6日後_7日後_2日後	2日後
PP1394	1	1	PP1394-A	こんにちは！鳥を飼い始めたのですが名前どうしよー。	私は鳥を買い始めました。		
PP1394	1	2	PP1394-B	こんにちは。ピヨちゃんとかどうですか？わたしは小学生なので、センスが無くてごめんなさい。	私は小学生です。		
PP1394	1	3	PP1394-A	ぴよちゃんかわいいね！学校で運動とかはしてますか？			
PP1394	1	4	PP1394-B	運動は体育でバスケットボールとかをしています！身長が低いので難しいです。	私は身長が低いです。		
PP1394	1	5	PP1394-A	これから身長は伸びていきますから安心して。私は昔野球をしてました。	私は昔、野球をしていました。		
PP1394	1	6	PP1394-B	野球できる人ってカッコいいです！今でもしていますか？			
PP1394	1	7	PP1394-A	たまに草野球はしますがもう体が動かないです、、、。			
PP1394	1	8	PP1394-B	おいくつなんですか？			
PP1394	1	9	PP1394-A	20代です。やはり学生時代のようにはいかないですね。	私は20代です。		
PP1394	1	10	PP1394-B	まだ若いじゃないですか！星座は何座ですか？わたしは乙女座なんですが、占い師になりたくて日々勉強中です！	私は乙女座です。		
PP1394	1	11	PP1394-A	みずがめ座です。占って！	私はみずがめ座です。		
PP1394	1	12	PP1394-B	お！では今度結果をお伝えしま～す！			
PP1394	2	1	PP1394-A	こんにちは！1週間ぶりくらいですかね？		5日後	5日後
PP1394	2	2	PP1394-B	お久しぶりです！この間話した占いの結果が出ましたよ、聞きますか？		5日後	5日後
PP1394	2	3	PP1394-A	聞きたいです！水瓶座、どんな感じでしたか？	私はみずがめ座です。	5日後	5日後
